USAF,WBAN,STATION NAME,CTRY,ST,RGN,CALL,LAT,LON,ELEV(M),BEGIN,END
702673,99999,BIG DELTA ARCTIC WX,US,AK,W,,64.0,-145.717,389.0,19800303,19841204
702674,99999,CIRCLE CITY AIRPORT,US,AK,W,,65.833,-144.067,182.0,19790507,20091019
702675,26484,PAXSON AIRPORT,US,AK,W,PAXK,63.032,-145.498,823.0,20060101,20101003
702675,99999,PAXSON,US,AK,W,PAXK,63.033,-145.5,809.0,19740419,20051231
702677,99999,ISABELL PASS CAMP,US,AK,W,Z32,63.083,-145.5,978.0,19750929,19761202
702680,99999,GLENNALLEN  AK,US,AK,W,,62.1,-145.967,573.0,19750401,19900504
702685,27518,ATQASUK EDWARD BURNELL SR. ME,US,AK,W,PATQ,70.467,-157.436,29.3,20060501,20220428
702686,106,KIPNUK AIRPORT,US,AK,W,PAKI,60.9,-161.233,9.1,20060501,20220428
702686,99999,AKIAK,US,AK,W,PAKI,60.903,-161.231,9.1,20080101,20081231
702695,96402,JONESVILLE MINE AIRPORT,US,AK,W,PAJV,61.714,-148.909,167.6,20060101,20111102
702695,99999,SUTTON,US,AK,W,PAJV,61.717,-148.883,265.0,19920416,20051231
702696,99999,LAZY MTN/WOLVERINE,US,AK,W,,61.633,-149.033,236.0,19780315,20040214
702697,107,NEW STUYAHOK AIRPORT,US,AK,W,PANW,59.45,-157.333,92.1,20061010,20220428
702697,99999,NEW STUYAHOK,US,AK,W,PANW,59.45,-157.33,92.0,20080101,20081231
702700,489,BRYANT ARMY AIRFIELD HELIPORT,US,AK,W,PAFR,61.266,-149.653,118.3,20130415,20220428
702710,26425,GULKANA AIRPORT,US,AK,W,PAGK,62.159,-145.459,481.1,19450101,20220428
702711,26439,SHEEP MOUNTAIN AIRPORT,US,AK,W,PASP,61.812,-147.507,853.4,20050101,20111101
